$100,000 Pyramid (1988);$100000P
Chase on Tom Sawyer's Island, The (1988);TheChase
Clue, The (1994);theclue
Colony, The (1988);thecolo
Computer Quiz, The (1988);TheCompu
Cool Croc Twins, The (1992);TheCoolC
Count, The (1981);thecount
Cycles, The - International Grand Prix Racing (1989);TheCycle
Dam Busters, The (1985);TheDamBu
Day 4, The - Icarus (1994);TheDay4I
Day 5, The - Assault Dragon (1995);TheDay5A
Dream Team, The - 3 on 3 Challenge (1991);TheDream
Dungeons of Grimlor II, The (1995);TheDung2
Dungeons of Grimlor, The (1993);TheDunge
Even More Incredible Machine, The (1993);TheEvenM
Exterminator, The (1983);TheExter
Fantastic Adventures of Dizzy, The (1994);TheFanta
Fidelity Chessmaster 2100, The (1989);TheFidel
Fight of the Sumo-Hoppers, The (1996);TheFight
Final Conflict, The (1991);TheFinal
Flintstones, The - Dino - Lost in Bedrock (1990);TheFlint
Ford Simulator, The (1987);TheFordS
Fortress of Dr. Radiaki, The (1994);TheFortr
Galaxians, The (1997);TheGala
Game of Robot, The (1988);TheGameo
Games People Play, The - Gin, Cribbage, Checkers, and Backgammon (1990);TheGames
Game With No Name, The (1990);TheGameW
Geekwad, The - Games of the Galaxy (1993);TheGeekw
Global Dilemma, The - Guns or Butter (1990);TheGloba
Godfather, The - The Action Game (1991);TheGodfa
Gold of the Aztecs, The (1990);TheGoldo
Grandest Fleet, The (1994);TheGrand
Hidden Below, The (1994);TheHidde
Hitchhiker's Guide to the Galaxy Trivia Challenge, The (1990);TheHitch
Honeymooners, The (1988);TheHoney
Horde, The (1994);TheHorde
Hulk, The (1984);thehulk
Hunt for Red October, The (1987);TheHuntf
IBM BASIC Quiz, The (1989);TheIBMBA
Incredible Hulk, The - The Pantheon Saga (1997);TheIncre
Their Finest Hour The Battle of Britain (1989);TheirFin
Land, The (1989);theland
Last Bounty Hunter, The (1994);TheLastB
Last Eichhof, The (1993);TheLastE
Last Knight, The (1997);TheLastK
Last Mission, The (1987);TheLastM
Last Ninja, The (1988);TheLastN
Light Corridor, The (1990);TheLight
Lion King, The (1994);TheLionK
Lost Admiral, The (1991);TheLostA
Lost Episodes of Doom, The (1995);TheLostE
Lost Tribe, The (1995);TheLostT
Lost Vikings, The (1993);TheLostV
Manager, The (1991);TheManag
Maze!, The (1996);TheMaze!
Theme Hospital (1997);ThemHosp
Stephen King's - The Mist (1985);themist
Theme Park Mystery (1990);thempamy
Theme Park (1994);ThemPark
Munsters, The (1993);TheMunst
Neverending Story II, The (1991);TheNever
Oakflat Nuclear Power Plant Simulator, The (1992);TheOakf
Orion Project, The (1994);TheOrion
Pack Rat, The (1992);ThePackR
Patrician, The (1992);ThePatri
Pit, The (1990);ThePit
Playroom, The (1989);ThePlayr
Politically Incorrect Adventures of Gewt Ningrich, The (1997);ThePolit
Premiership, The (1994);theprem
Price is Right, The (1990);ThePrice
Punisher, The - Eternity Disk (1990);ThePuni
Punisher, The (1990);ThePunis
Pure Wargame, The (1995);ThePureW
Queen of Hearts Maze Game, The (1982);TheQueen
Thera (2001);Thera
Raven Project, The (1995);TheRaven
Rocketeer, The (1991);TheRocke
Scottish Open, The - Virtual Golf (1995);TheScott
Scroll, The (1995);THESCROL
Second Kids' World Almanac Adventure, The (1990);TheSeco
Sentry, The (1989);TheSentr
These United States (1984);TheseUS
Slugger, The (1986);TheSlugg
Smurfs, The (1996);TheSmurf
Soaring Simulator, The (1998);TheSoari
Soccer Game, The (1989);TheSocce
Space Vegetable Corps, The (1992);TheSpace
Sporting News, The - Baseball (1988);TheSport
Spy's Adventures in South America, The (1987);TheSpys
Spy's Adventures in North America, The (1987);TheSpysA
Spy's Adventures in Europe, The (1986);TheSpysE
Suit, The (1996);TheSuit
Terminator, The (1991);TheTermi
Thing, The (1988);thething
Thor Trilogy, The (1990);TheThorT
Three Stooges, The (1987);TheThree
Tomb, The (1992);TheTomb
Toy Shop, The (1986);TheToySh
Train, The - Escape to Normandy (1988);TheTrain
Treehouse, The (1991);TheTreeh
Trooper, The (1996);TheTroop
TunnelMan, The (1994);TheTunne
Untouchables, The (1989);TheUntou
Varginha Incident, The (1998);TheVargi
War College, The - Universal Military Simulator 3 (1995);TheWarCo
Warp Factor, The (1982);TheWarpF
Wild Science Arcade, The (1993);TheWildS
World Name Game, The (1989);TheWorl
Worm, The (1985);TheWorm
Thexder (1987);Thexder
They Call Me... The Skul (1996);TheyCall
Tommy's Hidden-Word (1987);THidWord
Thief's Adventure (1986);ThiefAdv
Tommy's High IQ (1987);THighIQ
Thinking Games 2 (1993);Thinking
Think Quick! (1987);ThinkQui
Third Courier, The (1989);thirdc
Third Reich (1996);ThirdRei
Hobbit, The (1983);thobbit
Thomas the Tank Engine & Friends - The Collection (1994);Thomas2
Thomas the Tank Engine and Friends Pinball (1995);Thomast
Thomas the Tank Engine & Friends (1992);Thomasth
Thor's Hammer (1995);ThorsHam
Power, The (1991);ThPow91
Threat (1995);Threat
Three Fold (1994);ThreFold
Throwland (1994);Throwlan
Thud Ridge American Aces in 'Nam (1988);ThudRidg
ThunderBlade (1989);ThunderB
Thunderchopper (1989);Thunderc
Thunderhawk AH-73M (1992);Thunderh
Thunder Offshore (1997);ThunderO
Thunderstrike 2 (1995);Thunders
Thunder Truck Rally (1997);ThunderT
ThunderGun - The Cybwar Mission (1997);thungun
Thunderstrike (1990);ThunStri
Thunder Zone (1994);ThunZone
Tiao Ch'i (1983);TiaoChi
Tommy's Icicles (1986);Ticicles
Tie Break (1991);TieBrk
TIE Invaders (1996);TIEInvad
Tiger Road (1989);TigerRo
Tigers on the Prowl (1994);Tigerso
Tigers on the Prowl 2 (1996);tigprow
Tikkasentappopeli (1994);Tikkasen
Tiles of the Dragon (1993);tiledrag
Tilt (1992);Tilt
TiltMaze (1989);TiltMaze
Time Bandit (1988);TimeBand
Quest for the Time-Bird (1989);timebird
Time Commando (1996);TimeComm
Time Gate - Knight's Chase (1995);timegate
Time Hunters (1995);TimeHunt
Times of Lore (1988);timelore
Time Machine I (1993);TimeMac
Time Paradox (1996);timepara
Time Race (1990);TimeRace
Time Riders in American History (1992);TimeRide
Time Runners (1994);TimeRun
Time Slaughter (1996);TimeSlau
Time on Target (1995);TimeTarg
Time Warriors (1997);TimeWarr
Immortal, The (1991);timmorta
Time Traveler (1989);timtrav
Incredible Machine, The (1993);TIncM1
Incredible Machine 2, The (1994);TIncM2
Interceptor, The (1993);TInter93
Tintin in Tibet (1996);Tintinin
Tintin on the Moon (1989);Tintinon
TinyTris (2004);TinyTris
Titan (1989);Titan89
Titanic (1991);Titanic
Titans of Steel (1998);TitOStel
Titus the Fox - To Marrakech and Back (1992);Titusthe
Tommy's Jottomania (1989);Tjotto
Tommy's Kiddie Cards (1987);TKidCard
TKO (1989);TKO
Total Knockout Boxing (1995);TKOCFB
Final Crusade of Kroz, The (1990);TKrozCr
Tommy's Lander (1986);Tland
Tom Landry Strategy Football (1993);Tlandry
Tom Landry Strategy Football Deluxe Edition (1993);TlandryD
Timothy Leary's Mind Mirror (1986);tlminmir
Tony La Russa Baseball 3 1996 Edition (1996);TLRB396
Las Vegas EGA Casino, The (1987);TLVCas
Las Vegas EGA Casino, The (Version 2.0) (1991);TLVCas20
T-Mek (1996);TMek
Too Many Geckos! (1995);TMGeckos
Teenage Mutant Ninja Turtles (1989);TMNT
Teenage Mutant Ninja Turtles II - The Arcade Game (1991);TMNT2
Teenage Mutant Ninja Turtles - Manhattan Missions (1991);TMNTMM
Tommy's Monopoly (1988);Tmonopo
Need for Speed, The (1995);TNFS
Need for Speed, The - Special Edition (1996);TNFSSE
Tommy's Nim (1987);Tnim
Tank Attack (1988);tnkattk
Tank Wars (1990);TnkWar90
TankWars (1995);TnkWar95
Tank Wars (1996);TnkWar96
Toad (1995);Toad
Toad Road (1990);ToadRoad
Toffifee - Fantasy Forest (1996);Toffifee
Tommy's Oh Hell (1990);TOhHell
Toho Academy Adventure (1993);TohoAAdv
Toi Acid Game (1989);ToiAcid
Toki Suni Hexa (1995);TokiHexa
Tommy's Old Maid (1986);TOldMaid
Tommy's One-Armed Bandit (1986);tom1band
Tomahawk (1987);Tomahawk
Tom and the Ghost (1990);Tomandth
Tommy's Blob (1986);tomblob
Tomb of the Ancient Pharaohs, The (1992);TombOtAP
Tomb Raider Gold (1998);TombRaiG
Tommy's Flipout (1987);TomFlip
Tommy's Floppy Discus (1987);TomFlop
Tommy's Gorilla Ball Babies (1987);TomGBBab
Tommy's Gorilla Ball Gauntlet (1987);TomGBGau
Tommy's Gorilla Ball Gotcha (1987);TomGBGot
Tommy's Gorilla Ball Ramparts (1986);TomGBRam
Tommy's Gorilla Ball Tag (1987);TomGBTag
Tommy's Gorilla Ball Train (1987);TomGBTr
Tommy's Gorilla Balls (1986);tomgori
Tommy's Hyperdrive (1986);tomhypdr
Tom & Jerry (1993);TomJerry
Tommy's Manor (1989);tommano
Tommy's Mole (1987);TomMole
Tommy's Gorilla Ball Pythons (1986);Tommys
Tommy's Egg (1986);TommysEg
Tommy's Enet (1987);TommysEn
Tommy's Hollywords (1992);TommysHo
Tommy's Jammer (1986);TommysJa
Tommy's Jupiter Jet (1987);TommysJu
Tommy's Lifts (1986);TommysLi
Tommy's Meteors (1986);TommysMe
Tommy's Packrat (1986);TommysPa
Tommy's Rocks (1987);TommysRo
Tommy's Silo (1986);TommysSi
Tommy's Space Goblins (1987);TommysSp
Tommy's Stompers (1986);TommysSt
Tommy's Turkeys (1986);TommysTu
Tommy's Nite Lites! (1995);tomnite
Tommy's Nyet (1989);tomnyet
Tommy's Palace (1986);tompala
Tommy's Starball (1986);tomstarb
Tomtris (1997);Tomtris
Tongue of the Fatman (1989);Tongueof
Tonko (1994);Tonko
Tony & Friends in Kellogg's Land (1994);TonyandF
Tony La Russa Baseball II (1993);TonyLaRu
Tony La Russa Baseball 3 (1995);TonyLRB3
Tony La Russa's Ultimate Baseball (1991);TonyLRUB
Toobin' (1989);Toobin
Toonstruck (1995);TOONSTRK
TopChallenge (1994);TopChall
Top Gun (1987);TopGun
Top Gun Danger Zone (1991);TopGunDa
Top Gun Fire at Will (1996);TopGunFi
Top Hat Willy (2002);TopHatWi
Oo-Topos (1987);topos
Toppler (1990);Toppler
Topspeed 300 (2000);TopSp300
Torin's Passage (1995);torin
Tornado (1993);TORNADO
Tornado Operation Desert Storm (1994);TornadoO
Torpedo Alley (1985);TorpAlly
Torus (1994);Torus
To Serve and to Protect (1994);ToServPr
Trick or Treat (1994);tot
Total Carnage (1994);TotalCar
Total Control Football (1996);TotalCnF
Total Control (1996);TotalCon
Total Football Management (1996);TotalFo
Total Meltdown (1996);TotalMel
Total Pinball 3D (1996);TotalPin
Totally Smashed (1995);totasmas
Tommy's Othello (1986);Tothello
Totsugeki! Mix (1994);Totsugek
Touchdown Football (1984);Touchdow
Touche - The Adventures of the Fifth Musketeer (1995);touche
Touchline (1991);Touchlin
Tough Guy (1994);ToughGuy
Tour 91 (1991);Tour91
Touring Car Champions (1997);TouringC
Tournament Tennis (1985);Tourname
Towers (1992);Towers92
Tower Toppler (1988);TowerTop
Towers of Kublai Khan (1994);TowKubKh
Towers - Lord Baniff's Deceit (1994);TowLBan
Tower of Souls (1995);towsouls
Toxic Bunny (1996);ToxicBun
Toyota Celica GT Rally (1992);ToyotaCe
Tommy's Paddles (1986);Tpaddle
Tommy's Patience II (1988);TPatien2
Tommy's Patience III (1993);Tpatien3
Tommy's Patience (1986);Tpatienc
Tommy's Pinochle (1988);Tpinochl
Tommy's Pitch (1993);Tpitch
Tommy's Plates (1989);Tplates
Quest of Kwirk's Castle, The (1991);tqkwirk
Timequest (1991);tquest
Tracer Sanction, The (1984);tracer
Tracer (1996);Tracer96
Track Attack (1996);TrackAtt
Tracker (1987);Tracker
Tracon Air Traffic Control Simulator (1989);TraconAi
Tracon II (1990);TraconII
Traders - The Intergalactic Trading Game (1992);Traders
Trade Wars 2002 (1990);TradeWar
Traffic Department 2192 (1994);TrafficD
TrainBall (1990);TrainBal
Train Engineer (1994);TrainEng
Trains (1984);trains84
Transball (2003);TranBall
Transland (1996);tranland
Transarctica (1993);Transarc
Transport Tycoon (1994);Transpor
Transylvania (1986);transyl1
Transylvania 2 - The Crimson Crown (1986);transyl2
Transylvania 3 - Vanquish the Night (1990);transyl3
Transport Tycoon Deluxe (1995);TranTDLX
Trantor the Last Stormtrooper (1988);Trantort
Trash It (1997);TrashIt
Trauma (1995);Trauma
Travels of Joe Rabbit in the Big City, The (1994);TravJoeR
TRAZ (1989);TRAZ
Treasure Island (1985);treasil
Treasures of the Savage Frontier (1992);TreasSav
Treasure Hunt (1982);Treasure
Hunt for Red October, The (1990);TRedOct
Tree Masacre (1988);TreeMas
Treehouse Truants (1994);treetrua
Trek (1985);trek1985
Trek73 (1985);Trek73
Trekboer (1985);trekboer
Trek Trivia (1988);TrekTriv
Tremor for Quake (1997);TremorfQ
Trench Warfare (2005);TrenWar
Treasure Trap (1990);TresTrap
Trial by Magic (1995);triamagi
TrianGO (1989);TrianGO
Tribolo (1991);Tribolo
Tribute to Tetris (1986);TribTet
Tricky Quiky Games (1994);TrickyQ
Triclops Invasion (1986);Triclops
Trigger (1989);Trigger
Trinity (1986);trinity
Triplane Turmoil (1996);Triplane
Triple Play 97 (1996);TriplePl
Tris (1997);Tris97
Triskelion (1987);Triskel
Trivia 2000 (1986);Triv2k
Trivia 101 (1984);trivi101
Trivia Whiz (1990);TriviaWh
Trivial Pursuit (1989);TrivPur
Trivial Trek (1986);TrivTrek
Tracksuit Manager 2 (1996);TrkSMan2
Trump Castle (1988);TrmpCas
Trump Castle II (1991);TrmpCas2
Trump Castle 3 (1993);TrmpCas3
Troubled Tower (1994);trobtow
Troddlers (1993);Troddler
Trog! (1990);Trog!
Troika (1991);Troika91
Trojan (1986);Trojan
Trolls (1992);Trolls
Troll's Tale (1984);troltale
Return of Medusa, The (1991);tromed
Tron Light Cycles (1983);Tron1983
Tron (1997);tron1997
Tronic (1996);Tronic
TRON - Light Cycles (1992);TRONLigh
Air Troubles (1995);TROUBLE
Trouble at the Quatt Wunkery (1988);Troublea
Tommy's Roulette (1986);Troulett
Trubis (1992);Trubis
Trucks (1997);Trucks97
True Blood - The Karthanian Ultimatum (1994);trueblud
Trugg (1995);Trugg95
Tommy's Show And Tell Maze Generator (1986);TSaTMG
Tommy's Saucer (1986);Tsaucer
Tommy's Seawolf (1986);TSeaWolf
Tommy's Spades (1988);Tspades
Tommy's Space Farmer (1988);TSpaFarm
Tommy's Space Panels (1987);TSpaPanl
Test Drive (1987);TstDriv
Test Drive II - The Collection (1990);TstDriv2
Test Drive III The Passion (1990);TstDriv3
Test Drive - Off-Road (1997);TstDrivO
Tsumera (1996);Tsumera
Summoning, The (1992);tsummon
Tiny Toon Adventures - The Great Beanstalk (1996);TTABBS
Tommy's Tanks (1987);Ttanks
Thinkin Things Collection 1 (1994);TTC1DOS
Thinkin Things Collection 2 (1995);TTC2DOS
Tommy's Tenpins (1987);Ttenpin
Tommy's Terraces (1986);Tterrac
Tommy's Think II (1995);TThink2
Tommy's Towers (1986);Ttowers
Tommy's Trash! (1989);Ttrash
Tommy's Trek (1986);Ttrek
Tommy's Tricks (1987);Ttricks
Tommy's Trifles (1987);Ttrifles
Tommy's Trivia (1987);Ttriv
Tonight The Shrieking Corpses Bleed (2004);ttscb
Tic Tac Toe (2002);TTT02
Tic Tac Toe (1982);TTT82
Tommy's Tic-Tac-Toe (1987);TTTT
Tommy's Tyrants (1987);Ttyrants
Tube (1995);Tube
Tubes (1993);Tubes93
Tubis (1993);Tubis93
Tubular Worlds (1994);TubularW
Bud Tucker in Double Trouble (1996);TUCKER
Tug-A-War (1986);TugWar86
Tunnel B1 (1996);TunnelB1
Tunneler (1991);Tunneler
Tunnels of Armageddon (1989);Tunnelso
Tunnels & Trolls - Crusaders of Khazan (1990);tunntrol
Turbo (1987);Turbo
Turbo Champions (1989);TurboCh
Turbo Cup (1988);TurboCup
Turbo Flashy Cars (1992);TurboFC
TurboGo (1993);TurboG93
Turbo Out Run (1990);TurboOut
Turn It II (1991);TurnIt2
Turn It (1990);TurnIt90
Turn n' Burn (1991);TurnnBur
Turoid (1995);Turoid
Turrican II - The Final Fight (1995);Turrican
Tush-Tush - HaGibor HaMistory (1997);TushTus
Tut-Busters (1986);TutBust
Valley, The (2001);tvalley
TV and Cinema 101 - Trivia from Talkies to Trekkies (1984);tvandtri
TV Sports - Baseball (1990);TVSBase
TV Sports - Basketball (1990);TVSBask
TV Sports - Boxing (1991);TVSBoxin
TV Sports - Football (1989);TVSFoot
Tommy's Whist (1994);Twhist
Twilight Treasures (1989);Twilight
Twilight - 2000 (1991);Twilit2k
Twilight's Ransom (1988);twilrans
Twilight Zone (1988);twilzone
TwinBlok (1996);TwinBlok
Twin Dragon (1998);TwinDrag
Twinsen's Odyssey (1997);twinsen
Twins (1993);twinsFM
Twins (1995);twinsk
Twins in Trouble (1994);TwinTrou
Tommy's Wizards (1986);Twiz
Town With No Name (1993);twnoname
Tommy's Wheel of Misfortune (1987);TWoM
Textmode Tetris (1996);TxtTet
Tommy's Crosswords (1986);TXWord
Tommy's Yahtzee (1986);Tyahtzee
Tycoon - The Commodity Market Simulation (1983);TycTCMS
Type Attack (1983);TypeAttk
Typhoon of Steel (1991);Typhoono
Tyrian (1995);Tyrian
Tyrian 2000 (1999);Tyrian20
Koach Tzabar (1997);Tzabar
Koach Tzabar 2 (1997);Tzabar2
T-Zero (1991);tzero
Tommy's Zombies (1986);Tzombies
Ultimate Blackjack (1993);UBJ1993
Ultimate Body Blows (1994);UBodyBlo
Udoiana Raunes (2000);udoi
Udoiana Raunes 3 - In Search for Indiana Jones 4 (2003);udoi3
UEFA Champions League (1995);UEFA95
UEFA Champions League 1996-97 (1997);UEFACha
UEFA Euro 96 England (1996);UEFAEuro
Universal Forces Eardis Second Edition (1997);UFEardis
UFO (1989);UFO
UFO (1982);UFO1982
UFO Invasion (1997);UFOInvad
Ugh! (1992);Ugh!
Ulises (1989);Ulises
Ultimate DOOM, The (1995);UltDoom
Ultimate Football '95 (1995);UltFot95
Ultimate Cards (1992);UltiCard
Ultimate Domain (1994);UltiDoma
Ultima 0 - Akalabeth (1980);ultima0
Ultima I - The First Age of Darkness (1986);ultima1
Ultima II - Revenge of the Enchantress (1983);ultima2
Ultima III - Exodus (1983);ultima3
Ultima IV - Quest of the Avatar (1985);ultima4
Ultima V - Warriors of Destiny (1988);ultima5
Ultima VI - The False Prophet (1990);ultima6
Ultima VII Part 1 - The Black Gate + Forge of Virtue (1992);ultima71
Ultima VII Part 2 - Serpent Isle + The Silver Seed (1993);ultima72
Ultima VIII - Pagan (1994);ultima8
Ultima Underworld - The Stygian Abyss (1992);ultimau1
Ultima Underworld 2 - Labyrinth of Worlds (1993);ultimau2
Ultimate NFL Coaches Club Football (1994);UltimNFL
Ultimuh MCMLXVII - Part 2 of the 39th Trilogy - The Quest for the Golden Amulet (1993);Ultimuh
Ultizurk 2 - The Shadow Master (1993);Ultizrk2
Ultizurk 3 - The Guildmaster's Quest (1995);Ultizrk3
Ultizurk (1995);ultizurk
Ultimate Mission (1996);UltMis96
Ultimate Pinball (1996);UltPinB
Ultra-Quiz (1992);Ultra-Qu
Ultrabots (1993);Ultrabot
Ultris - The Ultimate Tetris (1992);Ultris
Ultimate Soccer Manager (1995);UltSocM1
Ultimate Soccer Manager 2 (1996);UltSocM2
Ultimate Tapan Kaikki, The (1998);UltTapan
Ulysses and the Golden Fleece (1982);ulygold
Universal Military Simulator, The (1993);ums
UMS II - Nations at War (1990);UMSIINa
Uncharted Waters (1990);UnchWat1
Uncharted Waters 2 - New Horizons (1995);UnchWat2
Uncle's Casino (1991);UnclesCa
Uncover It (1994);UncoverI
Under Fire (1987);UnderFir
Underhill (1988);Underhil
Under The Ice (1987);UnderIce
Undersea Adventure (1994);Undersea
Uninvited (1986);Uninvite
United States Quiz (1993);UnitedSt
Universe (1987);univ1
Universe 2 (1989);univ2
Universe 3 (1990);univ3
Universe (1994);univcore
Universal Warrior (1995);Universa
Unlimited Adventures (1993);unlimadv
Unlimited Warriors (1996);UnlWarr
Unnatural Selection (1993);Unnatura
Unnecessary Roughness '95 (1994);Unnece95
Unnecessary Roughness '96 (1995);Unnece96
Unnecessary Roughness (1993);Unnecess
Unnkulia Zero - The Search for Amanda (1993);Unnk0
Unnkulia One-Half - The Salesman Triumphant (1993);Unnk12
Unnkulian Unventure II - The Secret of Acme (1991);Unnk2
Unnkulian Underworld - The Unknown Unventure (1993);Unnkulia
Uno (1991);Uno91
Unreal (1991);Unreal
UnReal World (1994);unrealW
Untima IX - Descension (2003);untima
Up 'n Down (1987);UpnDown
Once Upon a Forest (1995);uponfor
Up Periscope! (1988);UpPerisc
Up Side Town (1993);UpSideTo
Up the Wall (1990);UpThWall
U.R.B.A.N The Cyborg Project (1999);URBAN99
Uridium (1988);Uridium
Urthwurm (2002);Urthwurm
USA Soccer '94 (1994);USASoc94
U.S.H.F. - Beyond Armageddon (1995);USHFBey
U.S. Navy Fighters (Gold) (1995);USNavFiG
U.S.S. Stinger (1989);USSSting
USS Ticonderoga Life and Death on the High Seas (1995);USSTicon
USS John Young 2 (1992);USSYoung
Usurper (1993);Usurper
Utopia - The Creation of a Nation (1991);UtoptCoN
Ultra Violent Worlds (1998);UVWorlds
Vacation Gone Awry (2002);vacgaw
Valhalla (1993);valhalla
Vamp One-Half (1998);Vamp12
Vampire's Castle Adventure (1988);vampca
Vampiric Tower (2000);vamptow
Vampyr - Talisman of Invocation (1990);vampyrti
Vanguard Ace - Vertical Madness (1997);Vanguard
VanSlug - X Mission (1995);vanslug
Varicella (1999);varicell
VariTale (1987);varitale
Vaxine (1990);Vaxine
Caveman Volleyball (1996);VBallHomi
VC (1983);vc
Vectorball (1988);Vectorba
Vegas Bandit (1994);VegasBan
Vegas Gambler (1987);VegasGam
Vegas Pro Video Poker (1989);VegasPro
Veil of Darkness (1993);veildark
Velcro Mind (1995);VelcroMi
Vengeance of Excalibur (1991);vengexca
Venom (1987);venom87
VENTURE (pci) (1993);Venture
Veritech - Variable Flight Simulator (1994);veritech
